prediction_id,game_id,model_version,predicted_at,is_pregame_final,is_backtest,as_of_ts,proj_away_pts,proj_home_pts,proj_margin_home,proj_total,win_prob_home,margin_sd,market_spread_home,market_total,spread_diff,total_diff,qb_home_id,qb_away_id,data_quality,quality_flags,contributions,inputs_hash,baseline_ratings_margin,baseline_hfa_margin,train_seasons,in_sample_warning,season,week,margin_home,total,home_field,close_spread_home,close_total,margin_error,abs_margin_error,total_error,abs_total_error,winner_correct,favorite_side,market_margin,market_abs_error,market_winner_correct,model_side_home,model_ats_result,model_ou_side_over,model_ou_result,edge_vs_market,baseline_ratings_abs_error,baseline_hfa_abs_error,win_prob_bin,home_won
2021_CFB_W01_MOH_CIN_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_MOH_CIN,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-09-04 19:30:00+00:00,22.3,30.88,8.59,53.18,0.7163,15.8,,,,,,,0.154,FEATURES_IMPUTED,"[{""category"": ""TALENT"", ""points"": 3.94}, {""category"": ""home_field"", ""points"": 0.08}]",,4.687135898935641,4.771805988233972,"2022,2023,2024,2025",True,2021,1,35.0,63.0,1.0,-22.5,49.0,-26.41,26.41,-9.82,9.82,1.0,HOME,22.5,12.5,1.0,False,LOSS,True,WIN,13.91,30.31286410106436,30.22819401176603,7,True
2021_CFB_W01_MOST_OKST_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_MOST_OKST,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-09-04 23:00:00+00:00,24.11,28.75,4.65,52.86,0.6226,15.8,,,,,,,0.115,FEATURES_IMPUTED,"[{""category"": ""home_field"", ""points"": 0.08}]",,4.687135898935641,4.771805988233972,"2022,2023,2024,2025",True,2021,1,7.0,39.0,1.0,,,-2.3499999999999996,2.3499999999999996,13.86,13.86,1.0,PICKEM,,,0.0,False,,False,,,2.312864101064359,2.2281940117660284,6,True
2021_CFB_W01_MRSH_NAVY_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_MRSH_NAVY,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-09-04 19:30:00+00:00,23.78,29.62,5.84,53.4,0.6524,15.8,,,,,,,0.154,FEATURES_IMPUTED,"[{""category"": ""TALENT"", ""points"": 1.19}, {""category"": ""home_field"", ""points"": 0.08}]",,4.687135898935641,4.771805988233972,"2022,2023,2024,2025",True,2021,1,-42.0,56.0,1.0,3.0,46.5,47.84,47.84,-2.6000000000000014,2.6000000000000014,0.0,AWAY,-3.0,39.0,1.0,True,LOSS,True,WIN,8.84,46.687135898935644,46.77180598823397,6,False
2021_CFB_W01_MSU_NU_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_MSU_NU,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-09-04 01:00:00+00:00,24.96,28.25,3.29,53.21,0.5877,15.8,,,,,,,0.154,FEATURES_IMPUTED,"[{""category"": ""TALENT"", ""points"": -1.35}, {""category"": ""home_field"", ""points"": 0.08}]",,4.687135898935641,4.771805988233972,"2022,2023,2024,2025",True,2021,1,-17.0,59.0,1.0,-3.0,45.5,20.29,20.29,-5.789999999999999,5.789999999999999,0.0,HOME,3.0,20.0,0.0,True,LOSS,True,WIN,0.29000000000000004,21.68713589893564,21.77180598823397,5,False
2021_CFB_W01_ND_FSU_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_ND_FSU,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-09-05 23:30:00+00:00,25.52,28.2,2.68,53.72,0.5716,15.8,,,,,,,0.154,FEATURES_IMPUTED,"[{""category"": ""TALENT"", ""points"": -1.96}, {""category"": ""home_field"", ""points"": 0.08}]",,4.687135898935641,4.771805988233972,"2022,2023,2024,2025",True,2021,1,-3.0,79.0,1.0,7.5,54.0,5.68,5.68,-25.28,25.28,0.0,AWAY,-7.5,4.5,1.0,True,WIN,False,LOSS,10.18,7.687135898935641,7.771805988233972,5,False
2021_CFB_W01_NEB_ILL_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_NEB_ILL,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-08-28 17:20:00+00:00,27.23,25.84,-1.39,53.08,0.4622,15.8,,,,,,,0.154,FEATURES_IMPUTED,"[{""category"": ""TALENT"", ""points"": -6.04}, {""category"": ""home_field"", ""points"": 0.08}]",,4.687135898935641,4.771805988233972,"2022,2023,2024,2025",True,2021,1,8.0,52.0,1.0,6.5,52.5,-9.39,9.39,1.0799999999999983,1.0799999999999983,0.0,AWAY,-6.5,14.5,0.0,True,WIN,True,LOSS,5.11,3.312864101064359,3.2281940117660284,4,True
2021_CFB_W01_NEV_CAL_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_NEV_CAL,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-09-05 02:30:00+00:00,21.95,31.76,9.81,53.72,0.7424,15.8,,,,,,,0.154,FEATURES_IMPUTED,"[{""category"": ""TALENT"", ""points"": 5.16}, {""category"": ""home_field"", ""points"": 0.08}]",,4.687135898935641,4.771805988233972,"2022,2023,2024,2025",True,2021,1,-5.0,39.0,1.0,-3.0,52.5,14.81,14.81,14.719999999999999,14.719999999999999,0.0,HOME,3.0,8.0,0.0,True,LOSS,True,LOSS,6.8100000000000005,9.68713589893564,9.771805988233972,7,False
2021_CFB_W01_NIU_GT_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_NIU_GT,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-09-04 23:30:00+00:00,22.91,31.29,8.38,54.19,0.7118,15.8,,,,,,,0.154,FEATURES_IMPUTED,"[{""category"": ""TALENT"", ""points"": 3.74}, {""category"": ""home_field"", ""points"": 0.08}]",,4.687135898935641,4.771805988233972,"2022,2023,2024,2025",True,2021,1,-1.0,43.0,1.0,-19.0,57.0,9.38,9.38,11.189999999999998,11.189999999999998,0.0,HOME,19.0,20.0,0.0,False,WIN,False,WIN,10.62,5.687135898935641,5.771805988233972,7,False
2021_CFB_W01_NMSU_SDSU_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_NMSU_SDSU,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-09-05 02:30:00+00:00,21.55,30.75,9.2,52.31,0.7295,15.8,,,,,,,0.154,FEATURES_IMPUTED,"[{""category"": ""TALENT"", ""points"": 4.55}, {""category"": ""home_field"", ""points"": 0.08}]",,4.687135898935641,4.771805988233972,"2022,2023,2024,2025",True,2021,1,18.0,38.0,1.0,-31.0,50.5,-8.8,8.8,14.310000000000002,14.310000000000002,1.0,HOME,31.0,13.0,1.0,False,WIN,True,LOSS,21.8,13.31286410106436,13.228194011766028,7,True
2021_CFB_W01_ODU_WAKE_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_ODU_WAKE,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-09-03 23:00:00+00:00,23.32,30.68,7.37,54.0,0.6888,15.8,,,,,,,0.154,FEATURES_IMPUTED,"[{""category"": ""TALENT"", ""points"": 2.72}, {""category"": ""home_field"", ""points"": 0.08}]",,4.687135898935641,4.771805988233972,"2022,2023,2024,2025",True,2021,1,32.0,52.0,1.0,-32.5,61.5,-24.63,24.63,2.0,2.0,1.0,HOME,32.5,0.5,1.0,False,WIN,False,WIN,25.13,27.31286410106436,27.22819401176603,6,True
