game_id,retrieved_at,forecast_for_utc,hours_to_kickoff,is_indoor,roof_status_unknown,source,temp_f,feels_like_f,wind_mph,wind_gust_mph,wind_dir_deg,precip_prob,precip_in,humidity_pct,condition_code
2026_NFL_W03_MIN_TB,2026-09-14T20:02:32.771231+00:00,2026-09-27T20:05:00+00:00,312.0,False,False,open_meteo,88.5,95.4,4.2,13.4,286.0,0.22,0.024,57.0,95.0
2026_NFL_W03_BAL_DAL,2026-09-14T20:02:33.804739+00:00,2026-09-27T20:25:00+00:00,312.4,False,False,open_meteo,76.1,83.4,4.9,15.7,184.0,0.18,0.012,89.0,51.0
2026_NFL_W03_LV_NO,2026-09-14T20:02:33.805096+00:00,2026-09-27T20:25:00+00:00,312.4,True,False,open_meteo,,,,,,,,,
2026_NFL_W03_LAR_DEN,2026-09-14T20:02:33.805615+00:00,2026-09-28T00:20:00+00:00,316.3,False,False,open_meteo,62.0,62.8,1.4,4.0,198.0,0.19,0.059,76.0,80.0
2026_NFL_W03_PHI_CHI,2026-09-14T20:02:33.806090+00:00,2026-09-29T00:15:00+00:00,340.2,False,False,open_meteo,63.9,62.0,12.0,16.1,21.0,0.06,0.0,85.0,3.0
2026_NFL_W03_ATL_GB,2026-09-14T23:02:17.739238+00:00,2026-09-25T00:15:00+00:00,241.2,False,False,open_meteo,62.5,57.6,13.2,6.3,32.0,0.07,0.0,69.0,3.0
2026_NFL_W03_LAC_BUF,2026-09-14T23:02:17.739653+00:00,2026-09-27T17:00:00+00:00,306.0,False,False,open_meteo,66.7,66.7,7.0,12.5,310.0,0.11,0.004,76.0,51.0
2026_NFL_W03_CAR_CLE,2026-09-14T23:02:18.415986+00:00,2026-09-27T17:00:00+00:00,306.0,False,False,open_meteo,67.0,66.6,9.6,8.5,324.0,0.26,0.0,80.0,3.0
2026_NFL_W03_NYJ_DET,2026-09-14T23:02:18.416260+00:00,2026-09-27T17:00:00+00:00,306.0,True,False,open_meteo,,,,,,,,,
2026_NFL_W03_HOU_IND,2026-09-14T23:02:19.051607+00:00,2026-09-27T17:00:00+00:00,306.0,False,True,open_meteo,77.0,78.7,5.6,5.4,353.0,0.2,0.0,51.0,0.0
2026_NFL_W03_NE_JAX,2026-09-14T23:02:19.691111+00:00,2026-09-27T17:00:00+00:00,306.0,False,False,open_meteo,93.2,100.8,2.7,8.9,325.0,0.42,0.0,45.0,3.0
2026_NFL_W03_KC_MIA,2026-09-14T23:02:20.332994+00:00,2026-09-27T17:00:00+00:00,306.0,False,False,open_meteo,92.0,101.1,1.6,9.6,45.0,0.38,0.0,46.0,3.0
2026_NFL_W03_TEN_NYG,2026-09-14T23:02:20.333415+00:00,2026-09-27T17:00:00+00:00,306.0,False,False,open_meteo,73.8,75.4,7.8,23.5,2.0,0.13,0.0,61.0,2.0
2026_NFL_W03_CIN_PIT,2026-09-14T23:02:20.972818+00:00,2026-09-27T17:00:00+00:00,306.0,False,False,open_meteo,71.5,72.3,7.9,9.8,317.0,0.18,0.004,70.0,51.0
2026_NFL_W03_SEA_WAS,2026-09-14T23:02:21.684785+00:00,2026-09-27T17:00:00+00:00,306.0,False,False,open_meteo,76.9,78.4,9.0,24.4,312.0,0.13,0.0,58.0,1.0
2026_NFL_W03_ARI_SF,2026-09-14T23:02:21.685365+00:00,2026-09-27T20:05:00+00:00,309.0,False,False,open_meteo,78.8,78.1,7.5,3.6,330.0,0.03,0.0,37.0,0.0
2026_NFL_W03_MIN_TB,2026-09-14T23:02:21.685708+00:00,2026-09-27T20:05:00+00:00,309.0,False,False,open_meteo,88.5,95.4,4.2,13.4,286.0,0.25,0.024,57.0,53.0
2026_NFL_W03_BAL_DAL,2026-09-14T23:02:22.408600+00:00,2026-09-27T20:25:00+00:00,309.4,False,False,open_meteo,76.1,83.4,4.9,15.7,184.0,0.18,0.012,89.0,51.0
2026_NFL_W03_LV_NO,2026-09-14T23:02:22.409017+00:00,2026-09-27T20:25:00+00:00,309.4,True,False,open_meteo,,,,,,,,,
2026_NFL_W03_LAR_DEN,2026-09-14T23:02:22.409384+00:00,2026-09-28T00:20:00+00:00,313.3,False,False,open_meteo,62.0,62.8,1.4,4.0,198.0,0.23,0.059,76.0,80.0
2026_NFL_W03_PHI_CHI,2026-09-14T23:02:22.409709+00:00,2026-09-29T00:15:00+00:00,337.2,False,False,open_meteo,63.9,62.0,12.0,16.1,21.0,0.16,0.0,85.0,3.0
2026_NFL_W03_ATL_GB,2026-09-15T11:05:14.976725+00:00,2026-09-25T00:15:00+00:00,229.2,False,False,open_meteo,56.3,50.6,16.2,32.9,332.0,0.1,0.016,90.0,51.0
2026_NFL_W03_LAC_BUF,2026-09-15T11:05:14.977132+00:00,2026-09-27T17:00:00+00:00,293.9,False,False,open_meteo,73.7,74.7,6.7,10.1,233.0,0.1,0.0,58.0,2.0
2026_NFL_W03_CAR_CLE,2026-09-15T11:05:15.651965+00:00,2026-09-27T17:00:00+00:00,293.9,False,False,open_meteo,73.8,76.0,4.8,8.1,202.0,0.05,0.0,58.0,2.0
2026_NFL_W03_NYJ_DET,2026-09-15T11:05:15.652222+00:00,2026-09-27T17:00:00+00:00,293.9,True,False,open_meteo,,,,,,,,,
2026_NFL_W03_HOU_IND,2026-09-15T11:05:16.309100+00:00,2026-09-27T17:00:00+00:00,293.9,False,True,open_meteo,76.0,76.8,5.7,7.8,154.0,0.06,0.0,47.0,1.0
2026_NFL_W03_NE_JAX,2026-09-15T11:05:16.965558+00:00,2026-09-27T17:00:00+00:00,293.9,False,False,open_meteo,79.2,85.8,8.1,20.4,106.0,0.63,0.02,83.0,53.0
2026_NFL_W03_KC_MIA,2026-09-15T11:05:17.614642+00:00,2026-09-27T17:00:00+00:00,293.9,False,False,open_meteo,90.0,94.5,14.3,15.2,113.0,0.4,0.0,54.0,3.0
2026_NFL_W03_TEN_NYG,2026-09-15T11:05:17.615044+00:00,2026-09-27T17:00:00+00:00,293.9,False,False,open_meteo,79.6,81.3,2.0,2.7,186.0,0.1,0.0,37.0,0.0
